product_id,sessions_a2b_qty,sessions_with_order,events_a2b_qty,events_pdp_a2b_qty,events_plp_a2b_qty,events_search_plp_a2b_qty,pages_before_a2b_qty,pdp_before_a2b_qty,plp_before_a2b_qty,search_plp_before_a2b_qty
26372760,21,12,21,20,0,1,58,38,5,13
27133309,20,0,20,20,0,0,20,20,0,0
20053168,13,0,13,13,0,0,14,14,0,0
31845429,12,2,12,11,0,1,30,25,2,3
20283956,11,4,13,10,0,3,62,31,6,25
34868443,11,2,11,11,0,0,22,19,3,0
19763716,10,3,11,9,0,2,23,12,3,8
20044919,10,4,10,9,0,1,59,39,13,7
20284320,9,3,10,9,0,1,53,32,3,18
27189395,9,6,12,12,0,0,17,17,0,0
32553550,9,6,9,9,0,0,14,14,0,0
19820930,8,2,8,7,0,1,33,26,4,3
20034815,8,5,8,8,0,0,19,19,0,0
20053154,8,4,8,4,0,4,35,12,7,16
26889842,8,8,9,0,0,9,94,38,15,41
34838856,8,5,9,9,0,0,23,20,1,2
20034759,7,4,8,6,0,2,36,10,6,20
20283756,7,4,7,6,0,1,45,19,6,20
20283960,7,4,7,6,0,1,42,34,2,6
26098513,7,1,7,5,0,2,28,11,6,11
27082538,7,3,7,3,0,4,26,11,1,14
27148596,7,5,8,8,0,0,24,15,2,7
27447601,7,1,7,7,0,0,18,16,1,1
28554813,7,4,9,9,0,0,15,13,2,0
34327779,7,4,7,1,0,6,41,21,3,17
20046718,6,4,6,4,0,2,38,11,4,23
20257663,6,2,7,6,0,1,42,35,1,5
20277679,6,3,6,6,0,0,7,6,1,0
20283826,6,2,6,6,0,0,16,12,2,2
20284139,6,1,6,4,0,2,21,11,3,7
20284359,6,2,9,9,0,0,42,29,3,10
20594655,6,4,7,7,0,0,25,9,0,16
20964948,6,1,6,3,0,3,71,18,18,35
26713147,6,2,6,5,0,1,10,8,1,1
26780006,6,0,15,15,0,0,6,6,0,0
27622695,6,1,6,6,0,0,14,12,1,1
28130660,6,3,8,5,0,3,45,17,9,19
29253347,6,2,6,5,0,1,16,9,0,7
32718046,6,2,6,6,0,0,33,20,0,13
36924200,6,2,7,7,0,0,8,8,0,0
19838333,5,3,5,5,0,0,53,49,4,0
19838358,5,3,5,4,0,1,23,12,2,9
20045499,5,0,5,4,0,1,16,11,3,2
20255935,5,1,6,4,0,2,26,21,2,3
20283780,5,3,5,5,0,0,11,7,4,0
20283824,5,3,5,3,0,2,42,22,3,17
20283845,5,1,5,5,0,0,7,6,1,0
20283877,5,3,5,4,0,1,15,13,1,1
20284357,5,1,5,4,0,1,21,11,1,9
20751871,5,2,5,4,0,1,13,6,1,6
26112551,5,3,5,5,0,0,29,23,5,1
26113339,5,2,5,5,0,0,20,19,1,0
26370350,5,3,7,7,0,0,20,14,5,1
26371793,5,3,5,3,0,2,21,3,5,13
26372764,5,3,5,5,0,0,11,10,0,0
26706362,5,3,5,5,0,0,10,9,1,0
26975418,5,0,6,4,0,2,8,4,1,3
26986673,5,2,6,2,0,4,19,5,3,11
27146135,5,3,8,5,0,3,10,7,2,1
27187991,5,3,5,5,0,0,17,12,3,2
27188193,5,3,5,4,0,1,10,5,1,4
27230551,5,2,5,5,0,0,11,9,1,1
27239707,5,2,5,4,0,1,12,7,2,3
27997590,5,0,7,7,0,0,11,7,4,0
28028925,5,0,5,4,0,1,23,18,2,3
28130651,5,3,5,3,0,2,30,13,6,11
31015051,5,0,6,4,0,2,21,7,0,13
32636140,5,2,6,6,0,0,21,13,6,2
33263589,5,2,6,6,0,0,13,13,0,0
33523597,5,2,6,3,0,3,12,6,2,4
34294339,5,2,6,6,0,0,25,23,2,0
34593436,5,0,5,4,0,1,31,19,5,7
36457823,5,1,5,3,0,2,11,7,1,3
19297723,4,3,4,1,0,3,21,12,3,6
19758999,4,0,4,2,0,2,9,2,2,5
19820925,4,2,5,4,0,1,17,12,0,5
19845387,4,1,4,3,0,1,6,3,1,1
19845395,4,2,4,4,0,0,8,5,2,0
19875155,4,0,4,3,0,1,18,14,2,2
20044918,4,0,4,4,0,0,13,9,4,0
20046198,4,3,4,2,0,2,26,12,5,9
20047608,4,0,4,2,0,2,15,3,2,10
20047616,4,0,4,4,0,0,13,10,2,1
